cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore	programs
	HU77						10	0.40		光電學位學程（學）		OEC9101			0		3.0	Y			115	半			Semiconductor Materials and Processing			0025			0	N		是	9					0			張菁文	大碩	◎密集課程	半導體製程						0		選				50	◎第2期  ◎第一類課程	3		
	HU77						10	0.40		光電學位學程（學）		OEC9115			0		3.0	Y			115	半			Industrial Camps and Implementation			0026			0	N			9		◎必須先修過【OEC8116  奈米磁性物理及其應用（一）】、【OEC8117  奈米磁性物理及其應用（二）】			0			謝振傑	大碩	◎密集課程	產業蹲點與實作						0		選				50	◎第2期  ◎第二類課程	3		
	LU23						5	0.10		地理系（學）		GEU0235			0		3.0	Y			115	半			Environmental Management and Regional Planning Practice			0027			0	N								0			莫家俊 李宗祐		◎密集課程	環境管理與區域規劃實務						0		選				50	◎全期  ◎第二類課程	3		
	LU23						5	0.10		地理系（學）		GEU0253			0		1.0	Y			115	半			Sustainable Development in East Asia			0028			0	N		是						0			莫家俊		◎密集課程	東亞的永續發展						0		選				50	◎第1期  ◎第二類課程	3		
	SU40						10	0.20		數學系（學）		MAC9051			0		3.0	Y			115	半			Case Studies in Applied Mathematics			0029			0	N			9					0			陳賢修	大碩	◎密集課程	應用數學專題個案研究						0		選				50	◎第2期  ◎第二類課程 【第二期】 7/26 ~ 8/22，每週一6-8、二6-8、三6-8、四6-8，(M310)，專題課程。	3		
	SU43						3	0.06		生科系（學）		BIU0159			0		2.0	Y			115	半			laboratory Course for Cellular and Molecular Biology			0030			0	N					◎限大三大四修習◎必須先修過【BIU0172  普通生物學實驗甲（一）】◎必須先修過(也可以同時修)【BIU0143  生物化學】、【BIU0144  生物化學實驗】、【NSU0010  生物化學實驗】其中一門			0			蘇銘燦 孫智雯 王麗婷 陳均		◎密集課程	細胞及分子生物學實驗						0		選				50	◎第1期  ◎第二類課程   1.實驗室D313，實驗課限30人。  2.實際上課日期預定學期結束後一週，約6月中。  3.第一次加退選解除限修大三與大四選課。	3		
	SU43						10	0.20		生科系（學）		BIC7002			0		3.0	Y			115	半			Industrial Practice			0031			0	N			7					0			謝秀梅	大碩博	◎密集課程	產業實習						0		選				50	◎全期  ◎第二類課程 請於選課前與開課老師討論實習地點。	3		
	SU43						10	0.40		生科系（學）		BIC9015			0		3.0	Y			115	半			Biological Microtechnique (including Lab.)			0032			0	N			9		◎必須先修過【BIU0172  普通生物學實驗甲（一）】			0			賴韻如 陳均 陳晶	大碩	◎密集課程	生物顯微技術含實驗						0		選				50	◎第2期  ◎第二類課程   1.實驗室D205，實驗課限30人。    2.實際上課日期預定8月中到底。	3		
	SU43						5	0.10		生科系（學）		BIC9066			0		3.0	Y			115	半			Field Ecology Survey Techniques			0033			0	N			9		◎限本系(含雙主修)修習			0			林仲平	大碩	◎密集課程	田野生態調查技術						0		選				50	◎第1期  ◎第二類課程   1.上課地點農業部生物多樣性研究所 (集集)，蓮華池研究站。  2.學生必須住宿10日左右。  3.人數限16人。  4.實際上課日期預定6月中。    5.選課學生須參加行前說明會，並須繳交食宿等相關費用。	3		
	SU43						5	0.10		生科系（學）		BIC9068			0		3.0	Y			115	半			Field ecology			0034			0	N			9		◎限本系(含雙主修)修習			0			李壽先	大碩	◎密集課程	野外生態學						0		選				50	◎第2期  ◎第二類課程   1.實際上課日期8月底9月初。  2.本門課程微生物相關實地探查課程，需外宿特有生物保育研究中心高海拔試驗站。  3.選課學生須繳交食宿費用，並參加行前會。    4.選課人數限12人，預定校外學生人數8人。	3		
	SU47						10	0.20		資工系（學）		CSC9009			0		3.0	Y			115	半			Projects in Computer Music and Audio Technology			0035			0	N			9					0			李忠謀 趙菁文	大碩	◎密集課程	音訊技術與電腦音樂專題研究						0		選				50	◎第1期  ◎第二類課程	3		
	E						10	0.40		教育學院		E0U0010			0		2.0	Y			115	半			PASSION Teaching Practicum			0037			0	N					◎必須先修過【E0U0009  PASSION國英數教材教法】、【PGUZ001  PASSION國英數教材教法】其中一門			0			胡翠君		◎密集課程	PASSION實習課程						0		必				50	◎第1期  ◎第二類課程	3		
