cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	A						5	0.10		運休學院		A0U0002			5		2.0				113	半			Introduction to Leadership </br>[ Program: The Program of Elite Athletes College ]			0001			15	N					◎初選 金牌書院學程 研究生得下修			0			鄭志富		三 8-9 本部 體001	領導概論 </br>[ 學分學程：金牌書院 ]						15		選				50		1	
	A						5	0.10		運休學院		A0U0007			5		2.0				113	半			Online Learning Resources </br>[ Program: The Program of Elite Athletes College ]			0002			15	N					◎初選 金牌書院學程 研究生得下修			0			謝邦彥		四 A-B 本部 綜1001	網路學習資源 </br>[ 學分學程：金牌書院 ]						15		選				50		1	
	AD30						10	0.20		體育系（博）		PED0009			0		3.0				113	半			Special Topics in Leisure Education </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0003			6	N					◎課程開放上修			0			張少熙		二 10-B 本部 體001	休閒教育專題研究 </br>[ 學分學程：高齡學程 ]						6		選				50		1	
	AD30						10	0.20		體育系（博）		PED0012			0		3.0				113	半			Topics in Sport Science			0004			21	N					◎課程開放上修			0			張育愷		五 2-4 本部 體001	運動科學特論						21		必				50		1	
	AD30						10	0.20		體育系（博）		PED0065			6		3.0				113	半			Special Topics in Sport Management			0005			2	N					◎課程開放上修			0			程紹同		四 6-8 本部 體002	運動管理學專題研究						2		選				50		1	
	AD30						10	0.20		體育系（博）		PED0077			0		3.0				113	半			Special Topics on Teacher Education- Physical Education			0006			4	N					◎課程開放上修			0			掌慶維		二 2-4 本部 體001	體育師資培育專題研究						4		選				50		1	
	AD31						0	0.00		休旅所（博）		SRD0001			2		3.0				113	半			Qualitative Methodology			0007			4	N		是			◎課程不開放上修			0			麥康妮		四 7-9 本部 綜603	質性研究法						4		必				30		1	
	AD31						0	0.00		休旅所（博）		SRD0010			2		3.0				113	半			Studies in Research Paper and Its Submission to Journals			0008			5	N					◎課程開放上修			0			王國欽		三 2-4 本部 綜603	期刊投稿研究						5		選				30		1	
	AD31						0	0.00		休旅所（博）		SRD0024			0		1.0				113	半			Seminar on Sport, Leisure, and Hospitality Management			0009			6	N					允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			0			麥康妮		四 B 本部 綜508會議室	運動休閒與餐旅管理專題討論						6		必				30		1	
	AM30						10	0.20		體育系（碩）		PEM0004			0		3.0				113	半			Studies in Physical Education Curriculum			0010			7	N					◎課程開放上修			0			施登堯		四 2-4 本部 體002	體育課程研究						7		選				50		1	
	AM30						10	0.20		體育系（碩）		PEM0020			0		3.0				113	半			Studies in Philosophy of Sport			0011			21	N					◎課程開放上修			0			林慶宏		四 2-4 本部 體001	運動哲學研究						21		選				50		1	
	AM30						10	0.20		體育系（碩）		PEM0023			6		3.0				113	半			Studies in Sport Marketing			0012			7	N					◎課程開放上修			0			程紹同		五 6-8 本部 體002	運動行銷學研究						7		選				50		1	
