cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore	programs
	A						5	0.10		運休學院		A0U0006			3		2.0				115	半			Stress Management </br>[ Program: The Inter-disciplinary Program of Sports Leadership ]			0001			0	N					◎初選 運動領導學分學程 研究生得下修			0			季力康		二 3-4 和平 教室自排	壓力紓解與管理 </br>[ 學分學程：運動領導學分學程 ]						0		選				50		2		ZU9W
	AD30						10	0.20		體育系（博）		PED0025			3		3.0				115	半			Special Topics in Sport Marketing			0002			0	N					◎課程開放上修			0			程紹同		五 8-10 和平 體002	運動行銷學專題研究						0		選				50		2		
	AD30						10	0.20		體育系（博）		PED0065			0		3.0				115	半			Special Topics in Sport Management			0003			0	N					◎課程開放上修			0			程紹同		五 3-5 和平 體002	運動管理學專題研究						0		選				50		2		
	AD30						10	0.20		體育系（博）		PED0076			0		3.0				115	半			Special Topics in Sport Sociology			0004			0	N					◎課程開放上修			0			湯添進		四 2-4 和平 體育館一2樓會議室	運動社會學專題研究						0		選				50		2		
	AD31						10	0.33		休旅所（博）		SRD0002			2		3.0				115	半			Quantitative Methodology			0005			0	N					◎課程不開放上修			0			陳美燕		四 6-8 和平 綜603	量化研究法						0		必				30		2		
	AD31						0	0.00		休旅所（博）		SRD0005			0		3.0				115	半			Studies in Advanced Marketing of Sport and Leisure			0006			0	N					◎課程開放上修			0			朱文增		四 2-4 和平 綜603	進階運動與休閒行銷學研究						0		選				30		2		
	AD31						0	0.00		休旅所（博）		SRD0024			0		1.0				115	半			Seminar on Sport, Leisure, and Hospitality Management			0007			0	N					◎限本系(含雙主修)修習   允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			0			未定		四 B 和平 無可用教室	運動休閒與餐旅管理專題討論						0		必				30		2		
	AM30						10	0.20		體育系（碩）		PEM0023			0		3.0				115	半			Studies in Sport Marketing			0008			0	N					◎課程開放上修			0			鄭志富		二 7-9 和平 體002	運動行銷學研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEM0100			5		3.0				115	半			Studies in Strategic Sport Sponsorship			0009			0	N		是			◎課程開放上修			0			程紹同		四 2-4 和平 體002	運動贊助策略研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0023			0		3.0				115	半			Biochemistry			0010			0	N			8		◎課程開放上修			0			劉宏文	碩博	四 6-8 公館 研001	生物化學						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0028			0		3.0				115	半			Special Topics in Exercise Biochemistry			0011			0	N			8		◎課程開放上修			0			未定	碩博	二 7-9 公館 研001	運動生物化學專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0036			0		3.0				115	半			Special Topics in Physical Education Curriculum			0012			0	N			8		◎課程開放上修			0			施登堯	碩博	二 2-4 和平 體003	體育課程專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0069			0		3.0				115	半			Special Topics on Dynamic System  Approaches in Biomechanics			0013			0	N			8		◎課程開放上修			0			張家豪	碩博	四 2-4 公館 研001	生物力學動態系統專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0071			0		3.0				115	半			Special Topics in Philosophy of Sport			0014			0	N			8		◎課程開放上修			0			林慶宏	碩博	五 2-4 和平 體001	運動哲學專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0076			0		3.0				115	半			Special Topics in Sport Biomechanics			0015			0	N		是	8		◎課程開放上修			0			黃長福	碩博	五 6-8 公館 體育館二3樓視聽教室	運動生物力學專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0090			0		3.0				115	半			Administration and Management of Physical Education in Schools			0016			0	N			8		◎課程開放上修			0			鄭志富 張琪	碩博	四 7-9 和平 體001	學校體育經營與管理						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0106			0		3.0				115	半			Studies in Modern Taiwanese Physical Education and Sport History			0017			0	N			8		◎課程開放上修			0			林玫君	碩博	二 A-C 和平 體002	臺灣體育運動史研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0122			0		3.0				115	半			Special Topics on Exercise Psychophysiology			0018			0	N			8		◎課程開放上修			0			洪聰敏	碩博	三 2-4 和平 體002	健身運動心生理學專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0124			0		3.0				115	半			Special Topics on Physical Activity Motivation			0019			0	N			8		◎課程開放上修			0			季力康	碩博	四 7-9 和平 體003	身體活動動機專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0126			0		3.0				115	半			Studies in Kinesiology			0020			0	N			8		◎課程開放上修			0			蔡虔祿	碩博	一 2-4 公館 研001	人體運動力學研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0130			5		3.0				115	半			Special Topics in Sports Equipment Design			0021			0	N		是	8		◎課程開放上修			0			Philip X. Fuchs	碩博	一 7-9 公館 體育館二3樓視聽教室	運動器材設計專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0138			0		3.0				115	半			Human Resource Management in Physical Education			0022			0	N			8		◎課程開放上修			0			未定	碩博	二 7-9 和平 體育館一2樓會議室	體育人力資源管理						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0142			0		3.0				115	半			Studies in Exercise Psychology			0023			0	N		是	8		◎課程開放上修			0			張育愷	碩博	一 2-4 和平 體003	健身運動心理學研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0144			0		3.0				115	半			Studies in Coaching Psychology			0024			0	N			8		◎課程開放上修			0			季力康	碩博	四 2-4 和平 體003	教練心理學研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC0146			0		3.0				115	半			Special Topics in Exercise and Adipose Tissue Metabolism			0025			0	N			8		◎課程開放上修			0			陳勇志	碩博	五 6-8 公館 研001	運動與脂質代謝專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC8001			0		3.0				115	半			Special Topics on Sport Economics			0026			0	N			8		◎課程開放上修			0			未定	碩博	一 2-4 和平 體002	運動經濟學專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC8005			0		3.0				115	半			Integrated Studies of the Eastern and Western Philosophy of Sport			0027			0	N			8		◎課程開放上修			0			石明宗	碩博	三 3-5 公館 研001	東西運動哲學整合研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC8007			0		3.0				115	半			Special Topics on Physical Activity Cognitive Neuroscience			0028			0	N			8		◎課程開放上修			0			張育愷	碩博	一 7-9 和平 體003	身體活動認知神經科學專題研究						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC8008			5		3.0				115	半			Academic Writing and Oral Presentation for Sport Sciences			0029			0	N		是	8		◎課程開放上修			0			Philip X. Fuchs	碩博	二 7-9 公館 體育館二3樓視聽教室	運動科學專業英文寫作與口語表達						0		選				50		2		
	AM30						10	0.20		體育系（碩）		PEC8013			0		3.0				115	半			Health Behaviors and Sports Development for People with Disabilities			0030			0	N			8		◎課程開放上修			0			潘正宸	碩博	五 2-4 和平 體育館一2樓會議室	身心障礙者健康行為與體育運動發展						0		選				50		2		
	AM31						0	0.00		休旅所（碩）		SRM0002			0		1.0				115	半			Seminar on Sport, Leisure and Hospitality Management (I)			0031			0	N					◎限本系(含雙主修)修習 ◎課程不開放上修			0			林伯修		四 C 和平 無可用教室	運動休閒與餐旅管理專題討論（一）						0		必				50		2		
	AM31						10	0.33		休旅所（碩）		SRM0074			2		3.0				115	半			Studies in Sport and Leisure Anthropology			0032			0	N					◎課程開放上修			0			林伯修		一 3-5 和平 綜604	運動與休閒人類學研究						0		選				30		2		
	AM31						0	0.00		休旅所（碩）		SRM0081			0		3.0				115	半			Sport, Leisure and Hospitality Management Internship			0033			0	N					◎限本系(含雙主修)修習 ◎課程不開放上修			0			未定		一 A-C 和平 綜602, 二 A-C 和平 綜602	運動休閒與餐旅管理實習						0		選				30		2		
	AM31						10	0.33		休旅所（碩）		SRM0108			0		3.0				115	半			Seminar on Sport Facility Planning and Management : Principles and Practices			0034			0	N					◎課程不開放上修			0			陳美燕		二 7-9 和平 綜604	運動場館規劃與經營管理專題討論						0		選				30		2		
	AM31						10	0.33		休旅所（碩）		SRM0115			0		3.0				115	半			Seminar on Brand Management in Sport Industry			0035			0	N					◎課程不開放上修			0			未定		二 3-5 和平 綜604	運動產業品牌管理專題討論						0		選				30		2		
	AM31						10	0.33		休旅所（碩）		SRM0124			0		3.0				115	半			Studies of Behavior Science in Sport and Leisure			0036			0	N					◎課程不開放上修			0			廖邕		五 3-5 和平 綜604	運動休閒行為科學研究						0		選				30		2		
	AM31						10	0.33		休旅所（碩）		SRM0127			2		3.0				115	半			Studies in Esports			0037			0	N					◎課程開放上修			0			湯添進		四 7-9 和平 綜604	電子競技專題研究						0		選				30		2		
	AM31						10	0.33		休旅所（碩）		SRM0129			5		3.0				115	半			Investment and Financial Analysis			0038			0	N					◎課程不開放上修			0			方進義		四 3-5 和平 綜604	投資與財務分析						0		選				30		2		
