cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore	programs
	GU						10	0.20		通識		0SUG538			0		2.0				115	半			Introduction to University Studies	C		0001			0	N					◎限大一修習◎限華語系（學）「應用華語文學組」選修			0			邱詩雯		三 3-4 和平 綜913	大學入門						0		通				50	限華語系（學）「應用華語文學組」選修 非大一、非本組的學生請先取得授課教師同意，並以授權碼方式加選。本課程中文授課。	1	B3	
	IM89						0	0.00		社工所（碩）		SWM0002			0		3.0				115	半			Seminar in Social Work Theory			0002			1	N					◎課程開放上修			0			張文		一 8-10 和平 綜603	社會工作理論專題						1		必				30		1		
	IM89						0	0.00		社工所（碩）		SWM0067			0		3.0				115	半			Advanced Research Methods in Social Work			0003			4	N					◎課程開放上修			0			陳杏容		四 6-8 和平 美術館602	進階社會工作研究法						4		必				24		1		
	IM89						0	0.00		社工所（碩）		SWM0079			0		3.0				115	半			Field Practicum: Social Work Filed Work (II)			0004			5	N					◎課程開放上修			-1			莊登閔		六 1-6 和平 教室自排	社會工作實地工作（二）						4		選				30		1		
	IM89						0	0.00		社工所（碩）		SWM0092			0		3.0				115	半			Cross-Cultural Social Work Field Practicum (II)			0005			5	N		是			◎課程開放上修			0			陳杏容		六 1-6 和平 教室自排	跨文化社會工作實習（二）						5		必				30		1		
	IM89						0	0.00		社工所（碩）		SWM0066			0		3.0				115	半			Field Practicum: Social Welfare Services (II)			0006			6	N					◎課程開放上修			-1			游美貴		六 1-6 和平 教室自排	社會福利實習（二）						5		選				30		1		
	IM89						0	0.00		社工所（碩）		SWM0006			0		3.0				115	半			Social Work Practicum (II)			0007			7	N					◎課程開放上修			-4			王永慈		六 1-6 和平 教室自排	社會工作實習（二）						3		選				30		1		
	IM89						0	0.00		社工所（碩）		SWM0071			3		3.0				115	半			Special Topics on Social Policy and Social Legislation			0008			10	N					◎課程開放上修			-1			王永慈		三 8-10 和平 綜602	社會政策與社會立法專題						9		選				30		1		
	SU44						5	0.20		地科系（學）		ESC9053			5		3.0				115	半			Climate Change Science and Practical Data Analysis			0009			16	N			9					-3			林永富	大碩	五 7-9 公館 理圖802	氣候變遷科學與實務分析						13		選				25		1		
	IM89						0	0.00		社工所（碩）		SWM0086			0		3.0				115	半			Psychological Trauma and Social Work Practice			0010			17	N					◎課程開放上修			-3			莊登閔		一 2-4 和平 綜603	心理創傷與社會工作實務專題						14		選				30		1		
