cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	A						5	0.10		運休學院		A0U0001			5		2.0				112	半			Communication and Expression </br>[ Program: The Program of Elite Athletes College ]			0001			16	N								0			姜義村		三 8-9 本部 誠301	溝通與表達 </br>[ 學分學程：金牌書院 ]						16		選				50		2	
	AD30						10	0.20		體育系（博）		PED0025			0		3.0				112	半			Special Topics in Sport Marketing			0002			4	N					◎課程開放上修			0			鄭志富		二 7-9 本部 體003	運動行銷學專題研究						4		選				50		2	
	AD30						10	0.20		體育系（博）		PED0052			0		3.0				112	半			Policy Analysis in Physical Education			0003			6	N					◎課程開放上修			0			張至滿		五 2-4 本部 體003	體育政策分析						6		選				50		2	
	AD30						10	0.20		體育系（博）		PED0056			0		3.0				112	半			Studies in Physical Education Curriculum for Higher Education			0004			4	N					◎課程開放上修			0			施登堯		五 2-4 本部 體002	高等教育體育課程研究						4		選				50		2	
	AD30						10	0.20		體育系（博）		PED0076			0		3.0				112	半			Special Topics in Sport Sociology			0005			2	N					◎課程開放上修			0			湯添進		四 2-4 本部 體002	運動社會學專題研究						2		選				50		2	
	AD31						5	0.17		休旅所（博）		SRD0002			2		3.0				112	半			Quantitative Methodology			0006			8	N					◎課程開放上修			0			陳美燕		四 6-8 本部 綜602	量化研究法						8		必				30		2	
	AD31						1	0.03		休旅所（博）		SRD0007			2		3.0				112	半			Sport, Leisure and Social Theories			0007			3	N					◎課程開放上修			0			林伯修		四 2-4 本部 綜602	運動與休閒社會學理論						3		選				30		2	
	AD31						0	0.00		休旅所（博）		SRD0024			0		1.0				112	半			Seminar on Sport, Leisure, and Hospitality Management			0008			6	N					允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			0			湯添進		四 B 本部 綜508會議室	運動休閒與餐旅管理專題討論						6		必				30		2	
	AM30						10	0.20		體育系（碩）		PEM0106			0		3.0				112	半			Studies in Recreational Sport </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0009			29	N					◎課程開放上修			0			詹俊成		一 2-4 本部 體002	休閒運動研究 </br>[ 學分學程：高齡學程 ]						29		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0005			0		3.0				112	半			Advanced Comparative Physical Education and Sport			0010			6	N			8		◎課程開放上修			0			黃怡玲	碩博	二 7-9 本部 體001	比較體育與運動研究						6		選				50		2	
