acadm_term	acadm_year	authorize_p	authorize_r	authorize_using	brief_eng	cancel	chn_name	class_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	deleteQ	dept_chiabbr	dept_code	dept_engfull	dept_group	dept_group_name	emi	eng_name	eng_teach	exp_hours	fillcounter	for_query	form_s	form_s_name	full_flag	gender_restrict	hours	iCounter	intensive	limit	limit_count_h	moocs_teach	not_choose	option_code	percentage	restrict	rt	school_avg	scoreEnt	selfTeach	selfTeachName	send_time	serial_no	status	tcode	teacher	time_inf	tname	umd	week_section1	week_section2	week_section3	week_section4	generalCore
3	113	10	0.20				教育研究法			◎全期  ◎第二類課程 【Summer Session 1 & 2】				TEU0004		半	3.0		教院學士班（學）	EU13					Educational Research Methods	是				1	一					Y	0	50			必			N						0067			林子斌	◎密集課程							
3	113	10	0.20				西洋古典音樂			◎第1期  ◎第一類課程 【Summer Session 1】				01UG003		半	2.0		通識	GU					Classical Music	是										Y	0	50			通			N						0069			劉錦紋	◎密集課程							A1
3	113	10	0.20				音樂鑑賞 </br>[ 學分學程：高齡學程 社團領導學程 ]			◎第1期  ◎第一類課程 【Summer Session 1】				01UG004		半	2.0		通識	GU					Music Appreciation </br>[ Program: The program of Cultivating Seniors Service Talent in Community The Program of Club Members Leadership And Empowerment Cultivation ]	是										Y	0	50			通			N						0070			劉錦紋	◎密集課程							A1
3	113	10	0.20				古典詩選讀			◎第1期  ◎第二類課程 【第一期】				01UG029		半	2.0		通識	GU					Selected Readings in Classical Chinese Poems											Y	0	50			通		◎國文系（學）不得選修	N						0072			何維剛	◎密集課程							A1
3	113	0	0.00				多元文化 </br>[ 學分學程：PASSION偏鄉教育學程 社團領導學程 ]			◎第2期  ◎第一類課程 【Summer Session 2】				03UG003		半	2.0		通識	GU					Multicultural Literacy </br>[ Program: The Program of PASSION Quality Education in Rural Schools The Program of Club Members Leadership And Empowerment Cultivation ]	是										Y	0	50			通			N						0073			范俊銘	◎密集課程							A2
3	113	0	0.00				當代社會與文化關鍵議題			◎第2期  ◎第一類課程 【Summer Session 2】				03UG045		半	2.0		通識	GU					Key Issues of Contemporary Society and Culture	是										Y	0	50			通			N						0074			范俊銘	◎密集課程							A2
3	113	10	0.20				資料科學與程式設計 </br>[ 學分學程：音樂科技學程 資訊科技應用學程 ]			◎第1期  ◎第一類課程  【Summer Session 1】  Please bring your laptop to class.				05UG017		半	2.0		通識	GU					Data Science and Computer Programming </br>[ Program: The Program of Computer Music and Audio Technology The Program of Application of Information Technology ]	是										Y	0	50			通			N						0075			林耘逸	◎密集課程							A4
3	113	10	0.20				學程式玩音樂 </br>[ 學分學程：音樂科技學程 ]			◎第2期  ◎第一類課程 【第二期】				05UG022		半	2.0		通識	GU					Learning Programming for Music </br>[ Program: The Program of Computer Music and Audio Technology ]											Y	0	50			通			N						0076			林宜徵	◎密集課程							A4
3	113	3	0.08				數位音樂與聲音合成之基礎程式設計			◎第2期  ◎第一類課程 【Summer Session 2】				05UG027		半	2.0		通識	GU					Fundamental Programming for Digital Music and Sound Synthesis	是										Y	0	37			通			N						0077			林宜徵	◎密集課程							A4
3	113	10	0.20				生醫與健康數據分析			◎第2期  ◎第一類課程  【Summer Session 2】  Please bring your laptop to class.				05UG029		半	2.0		通識	GU					Biomedical and Health Data Analytics	是										Y	0	50			通			N						0078			林耘逸	◎密集課程							A4
3	113	10	0.20				數據視覺化與溝通			◎臺語      授課  ◎全期  ◎第一類課程 【全期】				05UG040		半	2.0		通識	GU					Data Visualization and Communication											Y	0	50			通			N						0079			黃浩霆	◎密集課程							A4
3	113	0	0.00				文學、電影中的青少年成長經驗			◎第1期  ◎第二類課程 【第一期】				0AUG228		半	2.0		通識	GU					Experiences of Teenage Growth in Literature and Movies											Y	0	55			通			N						0080			鄭怡庭	◎密集課程							A1
3	113	0	0.00				文學、電影中的情感經驗			◎第1期  ◎第二類課程 【第一期】				0AUG229		半	2.0		通識	GU					Love in Literature and Films											Y	0	55			通			N						0081			鄭怡庭	◎密集課程							A1
3	113	3	0.09				半導體與人工智慧	大碩	9	◎第2期  ◎第二類課程   【Summer Session 2】  Total Credits: 3 credits (48 hours)  Intensive Course  Prerequisites: None  Class Schedule: August 11~August 22, 9:00 AM ~ 5:00 PM, for 11 days				H5C9003		半	3.0		科技學院	H					Semiconductors and Artificial Intelligence	是										Y	0	33			選			N						0082			劉祥麟 駱芳鈺 楊承山 林政宏 劉傳璽 柯坤呈 辜漢文 張譽騰 柯伯尼	◎密集課程							
3	113	10	0.67				彩色成像技術			◎全期  ◎第二類課程 【全期】				GCM0098		半	3.0		圖傳系（碩）	HM72					Color Imaging Technique					1	一					Y	0	15			選		◎課程開放上修	N						0083			廖信	◎密集課程							
3	113	10	0.20				有機光電元件原理與應用	碩博	8	◎第2期  ◎第二類課程 【第二期】				OEC8152		半	3.0		光電所（碩）	HM77					The Devices Physics and Applications for Organic Led											Y	0	50			選		◎課程開放上修	N						0084			邱南福	◎密集課程							
3	113	10	0.33				影視欣賞			◎全期  ◎第二類課程 【Summer Session 1 & 2】				GCU0042		半	3.0		圖傳系（學）	HU72					Film / Video Appreciation	是				2	二					Y	0	30			選			N						0085			張晏榕	◎密集課程							
3	113	10	0.33				半導體製程技術 </br>[ 學分學程：半導體技術學程 ]	大碩	9	◎第1期  ◎第二類課程 【Summer Session 1】				MTC9018		半	3.0		機電系（學）	HU73					Semiconductor Fabrication Process </br>[ Program: The Program of Semiconductor Technology ]	是										Y	0	30			選			N						0086			劉傳璽	◎密集課程							
3	113	10	0.20				數位系統實驗			◎全期  ◎第一類課程 【Summer Session 1 & 2】				AEU0004		半	2.0		電機系（學）	HU75					Digital Systems Laboratory	是				1	一					Y	0	50			必			N			是	林政宏		0089			林政宏	◎密集課程							
3	113	10	0.20				超大型積體電路設計導論 </br>[ 學分學程：台積電半導體學程 半導體技術學程 ]			◎全期  ◎第二類課程 【全期】				AEU0075		半	3.0		電機系（學）	HU75					Introduction to VLSI Design </br>[ Program: NTNU and TSMC Semiconductor Program The Program of Semiconductor Technology ]					3	三					Y	0	50			選			N						0090			郭岳芳	◎密集課程							
3	113	10	0.20				財經英文			◎第1期  ◎第二類課程 【Summer Session 1】				EAU0238		半	3.0		東亞系（學）	IU83					English for Finance and Economics	是				1	一					Y	0	50			選			N						0091			田正利	◎密集課程							
3	113	10	0.20				文學院跨域產業實習 </br>[ 學分學程：元宇宙學程 ]	大碩	9	◎第1期  ◎第一類課程 【第一期】選課前詢問開課老師細節				L0C9007		半	2.0		文學院	L					CLA Internship Program </br>[ Program: The Program of Metaverse Narrative ]											Y	0	50			選			N						0092			廖芳瀅	◎密集課程							
3	113	10	0.20				環境人文導論	大碩	9	◎第1期  ◎第二類課程 【Summer Session 1】				L0C9010		半	3.0		文學院	L					Introduction to Environmental Humanities: Concepts and Perspectives	是										Y	0	50			選			N						0093			貝格泰	◎密集課程							
3	113	10	0.33				十九世紀英國小說	碩博	8	◎第2期  ◎第二類課程 【Summer Session 2】				ENC1065		半	3.0		英語系（碩）	LM21					19th-Century English Novel	是										Y	0	30			選		◎課程開放上修	N						0094			高瑪麗	◎密集課程							
3	113	10	0.20				曲選及習作			◎第1期  ◎第一類課程 【第一期】				CHU0089		半	3.0		國文系（學）	LU20					Selections of Chu & Writing Practice					3	三					Y	0	50			必			N						0095			陳芳	◎密集課程							
3	113	10	0.20				漢代畫像的文學閱讀			◎第2期  ◎第一類課程 【第二期】				CHU0200		半	2.0		國文系（學）	LU20					Literary Interpretation of Stone Portraits in Han Dynasty					3	三					Y	0	50			選			N						0096			鍾宗憲	◎密集課程							
3	113	10	0.20				應用文及習作			◎第1期  ◎第一類課程 【第一期】				CHU0125		半	2.0		國文系（學）	LU20					Practical Writing					4	四					Y	0	50			必			N						0097			陳亭佑	◎密集課程							
3	113	10	0.20				明清小說（二） </br>[ 學分學程：元宇宙學程 ]			◎第2期  ◎第二類課程 【第二期】				CHU0300		半	2.0		國文系（學）	LU20					Novels in Dynasty of Ming-Ching (II) </br>[ Program: The Program of Metaverse Narrative ]					4	四					Y	0	50			選			N						0098			胡衍南	◎密集課程							
3	113	10	0.20				英國文學：中古時期至十八世紀（一）			◎第1期  ◎第一類課程 【Summer Session 1】				ENU0291		半	2.0		英語系（學）	LU21					English Literature: Medieval Period to the Eighteenth Century (I)	是				2	二					Y	0	50			必			N						0099			高瑪麗	◎密集課程							
3	113	10	0.20				英國文學：中古時期至十八世紀（二）			◎第1期  ◎第一類課程 【Summer Session 1】				ENU0292		半	2.0		英語系（學）	LU21					English Literature: Medieval Period to the Eighteenth Century (II)	是				2	二					Y	0	50			必			N						0100			張瓊惠	◎密集課程							
3	113	10	0.20				英語語言史			◎全期  ◎第一類課程 【Summer Session 1 & 2】				ENU0017		半	3.0		英語系（學）	LU21					History of the English Language	是				3	三					Y	0	50			必		◎必須先修過【ENU0259  語言學概論（一）】、【ENU0260  語言學概論（二）】	N						0101			吳靜蘭	◎密集課程							
3	113	10	0.20				臺灣近代政治社會史研討	大碩	9	◎第1期  ◎第一類課程 【Summer Session 1】				HIC9028		半	3.0		歷史系（學）	LU22					Seminar on Modern Social and Political History of Taiwan	是										Y	0	50			選			N						0102			林欣宜	◎密集課程							
3	113	10	0.20				亞洲地理 </br>[ 學分學程：國關與外交學程 ]			◎第1期  ◎第二類課程   【第一期】    已選課或欲選課者，第一週必須出席課堂，否則請務必退選或勿再加選				GEU0069		半	3.0		地理系（學）	LU23					Geography of Asia </br>[ Program: The Program of International Relations and Diplomacy ]											Y	0	50			選		◎必須先修過【GEU0014  世界地理】	N						0103			許嘉麟	◎密集課程							
3	113	10	0.20				環境管理與區域規劃實務 </br>[ 學分學程：環境監測學程 區域學程 ]			◎全期  ◎第一類課程 【全期】				GEU0235		半	3.0		地理系（學）	LU23					Environmental Management and Regional Planning Practice </br>[ Program: The Program of Environmental Monitoring and Disaster Mitigation The Program of Region and Tourism Planning ]											Y	0	50			選			N						0104			韋煙灶 詹竣翔	◎密集課程							
