cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	A						5	0.10		運休學院		A0U0006			5		2.0				113	半			Stress Management </br>[ Program: The Program of Elite Athletes College ]			0001			13	N					◎初選 金牌書院學程 研究生得下修			0			季力康		四 3-4 和平 樸402	壓力紓解與管理 </br>[ 學分學程：金牌書院 ]						13		選				50		2	
	AD30						10	0.20		體育系（博）		PED0025			0		3.0				113	半			Special Topics in Sport Marketing			0002			8	N					◎課程開放上修			0			鄭志富		二 7-9 和平 體003	運動行銷學專題研究						8		選				50		2	
	AD30						10	0.20		體育系（博）		PED0066			0		3.0				113	半			Special Topics in Physical Education Teaching			0003			2	N					◎課程開放上修			0			施登堯		四 2-4 和平 體002	體育教學專題研究						2		選				50		2	
	AD30						10	0.20		體育系（博）		PED0076			0		3.0				113	半			Special Topics in Sport Sociology			0004			5	N					◎課程開放上修			0			湯添進		四 7-9 和平 體002	運動社會學專題研究						5		選				50		2	
	AD31						2	0.07		休旅所（博）		SRD0002			2		3.0				113	半			Quantitative Methodology			0005			7	N					◎課程不開放上修			0			陳美燕		四 6-8 和平 綜603	量化研究法						7		必				30		2	
	AD31						3	0.10		休旅所（博）		SRD0005			2		3.0				113	半			Studies in Advanced Marketing of Sport and Leisure			0006			11	N					◎課程開放上修			0			朱文增		四 7-9 和平 綜604	進階運動與休閒行銷學研究						11		選				30		2	
	AD31						10	0.33		休旅所（博）		SRD0006			2		3.0				113	半			Studies in Sport and Leisure Policy			0007			3	N					◎課程開放上修			0			湯添進		四 2-4 和平 綜603	運動與休閒政策研究						3		選				30		2	
	AD31						10	0.33		休旅所（博）		SRD0024			0		1.0				113	半			Seminar on Sport, Leisure, and Hospitality Management			0009			6	N					允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			0			朱文增		四 B 和平 教103	運動休閒與餐旅管理專題討論						6		必				30		2	
	AM30						10	0.20		體育系（碩）		PEM0005			0		3.0				113	半			Research on Teaching Physical Education			0010			8	N					◎課程開放上修			0			林靜萍		二 7-9 和平 體001	體育教學研究						8		選				50		2	
	AM30						10	0.20		體育系（碩）		PEM0032			0		3.0				113	半			Advanced Principles of Physical Education			0011			16	N					◎課程開放上修			0			程瑞福		二 2-4 和平 體001	體育原理研究						16		選				50		2	
	AM30						10	0.20		體育系（碩）		PEM0100			0		3.0				113	半			Studies in Strategic Sport Sponsorship			0012			5	N		是			◎課程開放上修			0			程紹同		一 2-4 和平 體001	運動贊助策略研究						5		選				50		2	
	AM30						10	0.20		體育系（碩）		PEM0108			0		3.0				113	半			Studies in Teacher Education- Physical Education			0013			12	N		是			◎課程開放上修			0			掌慶維		一 7-9 和平 體001	體育師資培育研究						12		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0023			0		3.0				113	半			Biochemistry			0014			15	N			8		◎課程開放上修			0			劉宏文	碩博	四 6-8 公館 研001	生物化學						15		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0040			3		3.0				113	半			Special Topics in Exercise and Disease			0016			4	N			8		◎課程開放上修			0			方進隆	碩博	四 2-4 和平 體003	運動與疾病專題研究						4		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0076			0		3.0				113	半			Special Topics in Sport Biomechanics			0017			5	N		是	8		◎課程開放上修			0			黃長福	碩博	五 6-8 公館 研001	運動生物力學專題研究						5		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0081			0		3.0				113	半			Special Topics in Exercise Physiology			0018			7	N			8		◎課程開放上修			0			王鶴森	碩博	一 7-9 和平 體002	運動生理學專題研究						7		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0090			0		3.0				113	半			Administration and Management of Physical Education in Schools			0019			25	N			8		◎課程開放上修			0			鄭志富 張琪	碩博	四 7-9 和平 體001	學校體育經營與管理						25		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0105			0		3.0				113	半			Studies in  Philosophy of Sport Embodiment			0020			26	N			8		◎課程開放上修			0			林慶宏	碩博	四 2-4 和平 體001	運動身體哲學研究						26		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0106			0		3.0				113	半			Studies in Modern Taiwanese Physical Education and Sport History			0021			6	N			8		◎課程開放上修			0			林玫君	碩博	一 7-9 和平 教室自排	臺灣體育運動史研究						6		選				50	上課教室：和平校區體育館三樓運動管理學研究室	2	
	AM30						10	0.20		體育系（碩）		PEC0118			0		3.0				113	半			Special Topics on Physical Activity Psychology			0022			8	N			8		◎課程開放上修			0			張育愷	碩博	一 7-9 和平 體003	身體活動心理學專題研究						8		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0122			0		3.0				113	半			Special Topics on Exercise Psychophysiology			0023			14	N			8		◎課程開放上修			0			洪聰敏	碩博	三 2-4 和平 體002	健身運動心生理學專題研究						14		選				50		2	
