cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	A						5	0.10		運休學院		A0U0005			5		2.0				114	半			International Trends of Physical Education and Sports </br>[ Program: The Program of Elite Athletes College ]			0001			13	N					◎初選 金牌書院學程 研究生得下修			0			陳美燕		四 6-7 和平 綜602	國際體育與運動現勢 </br>[ 學分學程：金牌書院 ]						13		選				50		1	
	AD30						10	0.20		體育系（博）		PED0009			0		3.0				114	半			Special Topics in Leisure Education </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0002			6	N					◎課程開放上修			0			張少熙		四 7-9 和平 體育館一2樓會議室	休閒教育專題研究 </br>[ 學分學程：高齡學程 ]						6		選				50		1	
	AD30						10	0.20		體育系（博）		PED0012			0		3.0				114	半			Topics in Sport Science			0003			18	N					◎課程開放上修			0			張育愷		五 2-4 和平 體001	運動科學特論						18		必				50		1	
	AD30						10	0.20		體育系（博）		PED0056			0		3.0				114	半			Studies in Physical Education Curriculum for Higher Education			0004			6	N					◎課程開放上修			0			林靜萍		一 7-9 和平 體002	高等教育體育課程研究						6		選				50		1	
	AD30						10	0.20		體育系（博）		PED0072			0		3.0				114	半			Paradigms and Critiques of Physical Activity Psychology Research			0005			6	N					◎課程開放上修			0			季力康		四 7-9 和平 體003	身體活動心理學之研究典範與批判						6		選				50		1	
	AD31						2	0.07		休旅所（博）		SRD0001			2		3.0				114	半			Qualitative Methodology			0006			10	N		是			◎課程不開放上修			0			麥康妮		四 7-9 和平 綜603	質性研究法						10		必				30		1	
	AD31						5	0.17		休旅所（博）		SRD0004			5		3.0				114	半			Strategic Management on Recreational Resources			0007			6	N					◎課程不開放上修			0			李晶		四 3-5 和平 綜602	遊憩資源策略管理						6		選				30		1	
	AD31						1	0.03		休旅所（博）		SRD0011			3		3.0				114	半			Studies in Service Quality Management			0008			14	N					◎課程不開放上修			1			陳美燕		一 6-8 和平 綜603	服務品質管理研究						15		選				30		1	
	AD31						1	0.03		休旅所（博）		SRD0024			0		1.0				114	半			Seminar on Sport, Leisure, and Hospitality Management			0009			3	N					允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			1			王國欽		四 B 和平 綜509國際會議廳	運動休閒與餐旅管理專題討論						4		必				30		1	
	AIA						0	0.00		AI聯盟		TAU0003			0		4.0				114	半			Statistics with Recitation			0010			1	1		是						0			李宗穎		二 6-7 校外 教室自排, 三 2-4 校外 教室自排	統計學暨實習						1		選				50	◎數位課程 TAICA臺灣大學課程；學制：大；上課時間：星期二 13:20~15:10、星期三 9:10~12:10	1	
	AIA						0	0.00		AI聯盟		TAU0004			0		3.0				114	半			Introduction to Generative Artificial Intelligence and Machine Learning			0011			20	1								0			李宏毅		五 7-9 校外 教室自排	生成式人工智慧與機器學習導論						20		選				20	◎數位課程 TAICA臺灣大學課程；學制：大；上課時間：星期五 14:20~17:20（實際上課日期：9/12、9/19、9/26、10/17、10/24、10/31、11/14、11/28、12/5、12/12）	1	
	AIA						0	0.00		AI聯盟		TAU0005			0		3.0				114	半			Introduction to Programming (C++)			0012			20	1								0			宏斌		一 2-4 公館 理圖801	基礎程式設計（C＋＋）						20		選				50	◎數位課程 TAICA陽明交通大學課程；學制：大；上課時間：星期一 9:00~12:00；本校協同教師：蔣宗哲	1	
	AIA						0	0.00		AI聯盟		TAC8002			0		3.0				114	半			Introduction to FinTech </br>[ Program: Applied Artificial Intelligence Exploration Program ]			0013			4	1			8		◎課程不開放上修			0			張智星	碩博	三 2-4 校外 教室自排	金融科技導論 </br>[ 學分學程：人工探索學程 ]						4		選				45	◎數位課程 TAICA臺灣大學課程；學制：碩博；上課時間：星期三 9:10~12:10	1	
	AIA						0	0.00		AI聯盟		TAC8003			0		3.0				114	半			Data Mining: Concepts, Techniques, and Applications </br>[ Program: Artificial Intelligence for Natural Language Technology Program ]			0014			8	1		是	8		◎課程開放上修			0			陳宜欣	碩博	一 2-4 校外 教室自排	資料探勘與應用 </br>[ 學分學程：AI自然語言 ]						8		選				50	◎數位課程 TAICA清華大學課程；學制：碩博；上課時間：星期一 9:00~12:00	1	
	AIA						0	0.00		AI聯盟		TAC8004			0		3.0				114	半			Natural Language Processing </br>[ Program: Artificial Intelligence for Natural Language Technology Program ]			0015			11	1			8		◎課程不開放上修			0			高宏宇	碩博	二 6-7 校外 教室自排, 四 6 校外 教室自排	自然語言處理 </br>[ 學分學程：AI自然語言 ]						11		選				50	◎數位課程 TAICA清華大學課程；學制：碩博；上課時間：星期二 13:20~15:10、星期四 13:20~14:10	1	
	AIA						0	0.00		AI聯盟		TAC8005			0		3.0				114	半			Human-AI Interaction			0016			5	1			8		◎課程開放上修			0			韓秉軒	碩博	四 6-8 校外 教室自排	智慧人機互動						5		選				50	◎數位課程 TAICA臺北科技大學課程；學制：碩博；上課時間：星期四 13:10~16:00	1	
	AIA						0	0.00		AI聯盟		TAC9001			0		3.0				114	半			Introduction to Artificial Intelligence </br>[ Program: Applied Artificial Intelligence Exploration Program ]			0017			11	1			9					0			朱威達	大碩	四 6-8 校外 教室自排	人工智慧導論 </br>[ 學分學程：人工探索學程 ]						11		選				50	◎數位課程 TAICA成功大學課程；學制：大碩；上課時間：星期四 13:10~16:00	1	
