cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	CU						0	0.00		共同科		00UB9A1			0		2.0	Y			114	半			English (III): Literature and Culture	A					0	N		是			◎必須先修過【英文(一)】◎必須先修過【英文(二)】			0			李金安		◎密集課程	英文（三）：文學與文化						0		必				35	◎第1期  ◎第一類課程	3	
	CU						0	0.00		共同科		00UB9B1			0		2.0	Y			114	半			English (III): English for Education	A					0	N		是			◎必須先修過【英文(一)】◎必須先修過【英文(二)】			0			李金安		◎密集課程	英文（三）：教育英文						0		必				35	◎第2期  ◎第一類課程	3	
	EU						10	0.20		師培學院		00UE006			0		2.0	Y			114	半			Classroom Management </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]						0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修			0			楊傳蓮		◎密集課程	班級經營（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						0		選				50	◎第1期  ◎第二類課程	3	
	EU						10	0.20		師培學院		00UE008			0		2.0	Y			114	半			Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]	A					0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修			0			陳淑琦		◎密集課程	輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						0		選				50	◎第2期  ◎第二類課程	3	
	EU						10	0.20		師培學院		00UE008			0		2.0	Y			114	半			Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]	B					0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修			0			陳淑琦		◎密集課程	輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						0		選				50	◎第2期  ◎第二類課程	3	
	EU						10	0.20		師培學院		00UE076			0		2.0	Y			114	半			Instructional Medium </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]						0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修			0			林育沖		◎密集課程	教學媒體與運用（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						0		選				50	◎第1期  ◎第二類課程	3	
	EU						10	0.20		師培學院		00UE097			0		2.0	Y			114	半			Parent Education : Families and Schools Working Together </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]						0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 可修			0			張民杰		◎密集課程	親職教育與親師合作（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						0		選				50	◎第1期  ◎第二類課程	3	
	EU						10	0.20		師培學院		00UE100			0		2.0	Y			114	半			Experiment Education </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]						0	N					◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修			0			楊傳蓮		◎密集課程	實驗教育（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						0		選				50	◎第1期  ◎第二類課程	3	
	GU						0	0.00		通識		05UG011			0		2.0	Y			114	半			Technology Ethics						0	N								0			劉啟民		◎密集課程	科技倫理						0		通				50	◎全期  ◎第一類課程	3	A2
	SU43						10	0.40		生科系（學）		BIC7002			0		3.0	Y			114	半			Industrial Practice						0	N			7					0			謝秀梅	大碩博	◎密集課程	產業實習						0		選				50	◎全期  ◎第二類課程	3	
