cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	A						5	0.10		運休學院		A0U0004			5		2.0				114	半			Career Planning and Vocational Counseling </br>[ Program: The Program of Elite Athletes College ]			0001			22	N					◎初選 金牌書院學程 研究生得下修			0			李加耀		三 6-7 和平 體002	生涯規劃與就業輔導 </br>[ 學分學程：金牌書院 ]						22		選				50		2	
	AD30						10	0.20		體育系（博）		PED0025			3		3.0				114	半			Special Topics in Sport Marketing			0003			1	N					◎課程開放上修			0			程紹同		五 6-8 和平 體002	運動行銷學專題研究						1		選				50		2	
	AD30						10	0.20		體育系（博）		PED0052			0		3.0				114	半			Policy Analysis in Physical Education			0004			4	N					◎課程開放上修			0			湯添進		四 2-4 和平 體育館一2樓會議室	體育政策分析						4		選				50		2	
	AD30						10	0.20		體育系（博）		PED0076			0		3.0				114	半			Special Topics in Sport Sociology			0005			2	N					◎課程開放上修			0			湯添進		四 7-9 和平 體002	運動社會學專題研究						2		選				50		2	
	AD31						10	0.33		休旅所（博）		SRD0002			2		3.0				114	半			Quantitative Methodology			0006			9	N					◎課程不開放上修			1			陳美燕		四 6-8 和平 綜603	量化研究法						10		必				30		2	
	AD31						2	0.07		休旅所（博）		SRD0008			2		3.0				114	半			Critiquing and Synthesizing Research for Evidence-Based Practice			0007			9	N					◎課程不開放上修			0			林儷蓉		四 2-4 和平 綜603	實證性研究之文獻評析與統整						9		選				30		2	
	AD31						10	0.33		休旅所（博）		SRD0024			0		1.0				114	半			Seminar on Sport, Leisure, and Hospitality Management			0008			8	N					允許重複修 ◎必須先修過【SRD0001  質性研究法】、【SRD0002  量化研究法】其中一門 ◎課程不開放上修			0			李晶		四 B 和平 綜509國際會議廳	運動休閒與餐旅管理專題討論						8		必				30		2	
	AD31						2	0.07		休旅所（博）		SRD0025			0		3.0				114	半			Academic Writing and Oral Presentation for Sport and Leisure			0009			8	N		是			◎課程不開放上修			0			廖邕		五 7-9 和平 綜603	運動休閒專業英文寫作與口語表達						8		選				30		2	
	AM30						10	0.20		體育系（碩）		PEM0100			5		3.0				114	半			Studies in Strategic Sport Sponsorship			0011			4	N		是			◎課程開放上修			0			程紹同		五 2-4 和平 體002	運動贊助策略研究						4		選				50		2	
	AM30						10	0.20		體育系（碩）		PEM0106			0		3.0				114	半			Studies in Recreational Sport </br>[ Program: The program of Cultivating Seniors Service Talent in Community ]			0012			23	N					◎課程開放上修			0			詹俊成		二 7-9 和平 體002	休閒運動研究 </br>[ 學分學程：高齡學程 ]						23		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0036			0		3.0				114	半			Special Topics in Physical Education Curriculum			0013			5	N			8		◎課程開放上修			0			闕月清	碩博	二 A-C 和平 體003	體育課程專題研究						5		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0071			0		3.0				114	半			Special Topics in Philosophy of Sport			0014			15	N			8		◎課程開放上修			0			林慶宏	碩博	四 2-4 和平 體001	運動哲學專題研究						15		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0076			0		3.0				114	半			Special Topics in Sport Biomechanics			0015			5	N		是	8		◎課程開放上修			0			黃長福	碩博	五 6-8 公館 體育館二3樓視聽教室	運動生物力學專題研究						5		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0081			0		3.0				114	半			Special Topics in Exercise Physiology			0016			11	N			8		◎課程開放上修			0			王鶴森	碩博	一 7-9 公館 研001	運動生理學專題研究						11		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0085			0		3.0				114	半			Special Topics in Aging and Physical Fitness			0017			4	N			8		◎課程開放上修			0			方進隆	碩博	四 2-4 和平 體003	老化與體適能專題研究						4		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0090			0		3.0				114	半			Administration and Management of Physical Education in Schools			0018			14	N			8		◎課程開放上修			0			鄭志富 張琪	碩博	四 7-9 和平 體001	學校體育經營與管理						14		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0118			0		3.0				114	半			Special Topics on Physical Activity Psychology			0019			7	N			8		◎課程開放上修			0			張育愷	碩博	一 7-9 和平 體003	身體活動心理學專題研究						7		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0122			0		3.0				114	半			Special Topics on Exercise Psychophysiology			0020			10	N			8		◎課程開放上修			0			洪聰敏	碩博	三 2-4 和平 體002	健身運動心生理學專題研究						10		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0123			0		3.0				114	半			Special Topics on Psychophysiological Measurements in Physical Activity			0021			7	N			8		◎課程開放上修			0			洪聰敏	碩博	二 2-4 和平 體003	身體活動心生理學測量專題研究						7		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0124			0		3.0				114	半			Special Topics on Physical Activity Motivation			0022			5	N			8		◎課程開放上修			0			季力康	碩博	四 7-9 和平 體003	身體活動動機專題研究						5		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0126			0		3.0				114	半			Studies in Kinesiology			0023			12	N			8		◎課程開放上修			0			蔡虔祿	碩博	一 2-4 公館 研001	人體運動力學研究						12		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0127			0		3.0				114	半			Application of Advanced Dynamics in Biomechanics			0024			7	N			8		◎課程開放上修			0			張家豪	碩博	四 2-4 公館 體育館二3樓視聽教室	高級動力學的生物力學應用						7		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0130			5		3.0				114	半			Special Topics in Sports Equipment Design			0025			6	N		是	8		◎課程開放上修			0			Philip X. Fuchs	碩博	一 7-9 公館 體育館二3樓視聽教室	運動器材設計專題研究						6		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0135			0		3.0				114	半			Exercise Immunology			0026			6	N			8		◎課程開放上修			0			徐孟達	碩博	二 7-9 公館 研001	運動免疫學						6		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0136			0		3.0				114	半			Special Topics in Principles of Physical Education			0027			9	N			8		◎課程開放上修			0			程瑞福	碩博	二 2-4 和平 體002	體育原理專題研究						9		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0137			0		3.0				114	半			Organizational Behavior in Physical Education and Sport			0028			12	N			8		◎課程開放上修			0			熊道天	碩博	五 7-9 和平 體003	體育運動組織行為						12		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0142			0		3.0				114	半			Studies in Exercise Psychology			0029			8	N		是	8		◎課程開放上修			0			張育愷	碩博	一 2-4 和平 體003	健身運動心理學研究						8		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0144			0		3.0				114	半			Studies in Coaching Psychology			0030			11	N			8		◎課程開放上修			0			季力康	碩博	四 2-4 和平 體002	教練心理學研究						11		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC0146			0		3.0				114	半			Special Topics in Exercise and Adipose Tissue Metabolism			0031			3	N			8		◎課程開放上修			0			陳勇志	碩博	五 6-8 公館 研001	運動與脂質代謝專題研究						3		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC8005			0		3.0				114	半			Integrated Studies of the Eastern and Western Philosophy of Sport			0032			5	N			8		◎課程開放上修			0			石明宗	碩博	三 3-5 公館 體育館二3樓視聽教室	東西運動哲學整合研究						5		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC8008			5		3.0				114	半			Academic Writing and Oral Presentation for Sport Sciences			0033			18	N		是	8		◎課程開放上修			0			Philip X. Fuchs	碩博	二 7-9 和平 體001	運動科學專業英文寫作與口語表達						18		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC8010			0		3.0				114	半			Studies in Modern Physical Education and Sport History			0034			8	N			8		◎課程開放上修			0			林玫君	碩博	二 A-C 和平 體002	近代體育運動史研究						8		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC8012			0		3.0				114	半			Advanced Human Physiology			0035			13	N			8		◎課程開放上修			0			劉宏文	碩博	四 6-8 公館 研001	高級人體生理學						13		選				50		2	
	AM30						10	0.20		體育系（碩）		PEC8013			0		3.0				114	半			Health Behaviors and Sports Development for People with Disabilities			0036			8	N			8		◎課程開放上修			0			潘正宸	碩博	五 2-4 和平 體003	身心障礙者健康行為與體育運動發展						8		選				50		2	
	AM31						10	0.20		休旅所（碩）		SRM0002			0		1.0				114	半			Seminar on Sport, Leisure and Hospitality Management (I)			0037			41	N					◎課程不開放上修			0			林伯修		四 C 和平 綜509國際會議廳	運動休閒與餐旅管理專題討論（一）						41		必				50		2	
	AM31						16	0.52		休旅所（碩）		SRM0055			0		3.0				114	半			Human Resource Management in Sport and Leisure Industry			0038			29	N					◎課程不開放上修			14			陳美燕		一 7-9 和平 綜604	運動休閒產業人力資源管理						43		選				30		2	
	AM31						3	0.10		休旅所（碩）		SRM0074			2		3.0				114	半			Studies in Sport and Leisure Anthropology			0039			29	N					◎課程開放上修			0			林伯修		一 3-5 和平 綜604	運動與休閒人類學研究						29		選				30		2	
	AM31						5	0.17		休旅所（碩）		SRM0079			5		3.0				114	半			Hospitality Revenue and Profit Management			0040			19	N					◎課程開放上修			0			方進義		四 3-5 和平 綜604	餐旅營收與利潤管理						19		選				30		2	
	AM31						0	0.00		休旅所（碩）		SRM0081			0		3.0				114	半			Sport, Leisure and Hospitality Management Internship			0041			0	N					◎課程不開放上修			0			林伯修		一 10-B 和平 教室自排, 二 10-B 和平 教室自排	運動休閒與餐旅管理實習						0		選				30		2	
	AM31						1	0.03		休旅所（碩）		SRM0120			5		3.0				114	半			Smart Tourism: the Technologies Integration and Management			0042			10	N					◎課程不開放上修			0			李晶		二 6-8 和平 綜603	智慧旅遊：科技整合與管理						10		選				30		2	
	AM31						2	0.07		休旅所（碩）		SRM0121			0		3.0				114	半			Sport Brand Project Planning and Practice			0043			29	N					◎課程不開放上修			2			李振賢		三 3-5 和平 綜603	運動品牌專案企劃與實作						31		選				30		2	
	AM31						3	0.10		休旅所（碩）		SRM0125			3		3.0				114	半			The Technological Applications of the Leisure Industry in the Web3 Era			0044			12	N					◎課程開放上修			0			家瑋		二 2-4 和平 綜603	Web3時代休閒產業的科技應用						12		選				30		2	
	AM31						2	0.07		休旅所（碩）		SRC0003			0		3.0				114	半			Designing and Planning Practices in Recreational Area			0045			0	N			8		◎課程不開放上修			0			李晶	碩博	四 6-8 和平 綜602	遊憩區規劃與設計						0		選				30		2	
	AM31						2	0.07		休旅所（碩）		SRC0004			2		3.0				114	半			Studies in Economics of Sport and Leisure			0046			14	N			8		◎課程不開放上修			0			朱文增	碩博	二 7-9 和平 綜602	運動與休閒經濟學研究						14		選				30		2	
	AM31						5	0.17		休旅所（碩）		SRC8003			5		3.0				114	半			Performance Evaluation and Decision Making Analysis in Sport and Hospitality Industries			0047			20	N			8		◎課程開放上修			0			方進義	碩博	五 3-5 和平 綜604	運動餐旅產業績效評估與決策分析						20		選				30		2	
	AM31						10	0.33		休旅所（碩）		SRC8005			0		3.0				114	半			Strategic Information Systems for Hospitality Managers			0048			7	N		是	8		◎課程不開放上修			0			雷芷卉	碩博	三 2-4 和平 綜602	餐旅業策略資訊系統管理						7		選				30		2	
	AM31						2	0.07		休旅所（碩）		SRC8008			0		3.0				114	半			Hospitality Facilities Development and Design			0049			9	N		是	8		◎課程不開放上修			0			雷芷卉	碩博	四 7-9 和平 綜604	餐旅設施規劃與設計						9		選				30		2	
	AM31						10	0.33		休旅所（碩）		SRC8012			2		3.0				114	半			Studies in Technology for Healthy Aging			0050			13	N		是	8		◎課程不開放上修			0			廖邕	碩博	五 3-5 和平 綜603	科技與健康老化研究						13		選				30		2	
	AM31						10	0.20		休旅所（碩）		SRM0126			0		3.0				114	半			Practicum in Sport, Leisure and Hospitality Industry			0051			39	N					◎課程不開放上修			0			林伯修		三 8-10 和平 綜604	運動休閒與餐旅產業實務	一			1		39		必				50		2	
	AM32						10	0.20		競技系（碩）		FPM0004			0		3.0				114	半			Studies in Sports Coaching			0052			11	N					◎課程開放上修			0			蔡於儒		二 5-7 公館 研003	運動教練學研究						11		必				50		2	
	AM32						10	0.20		競技系（碩）		FPM0010			0		3.0				114	半			Applied Psychology on Sports			0053			10	N					◎課程開放上修			0			梁嘉音		四 2-4 公館 Ｓ501	運動心理學應用研究						10		選				50		2	
	AM32						10	0.20		競技系（碩）		FPM0019			0		3.0				114	半			Applied Physiology of Specific Sport Events			0054			12	N					◎課程開放上修			0			鄭景峰		三 2-4 公館 Ｓ501	專項運動生理學						12		選				50		2	
	AM32						10	0.20		競技系（碩）		FPM0022			0		2.0				114	半			Practice of Sports Conditioning Training (II)			0055			15	N					◎課程開放上修			0			劉錦璋		三 10-A 公館 研001	運動體能訓練實作（二）						15		必				50		2	
	AM32						10	0.20		競技系（碩）		FPM0024			0		2.0				114	半			Practice of Sports Skill Training (II)			0056			9	N					◎課程開放上修			0			劉錦璋		三 B-C 公館 研003	運動技能訓練實作（二）						9		必				50		2	
	AM32						10	0.20		競技系（碩）		FPM0026			0		3.0				114	半			Future Development of Sport Technology			0057			16	N					◎課程開放上修			0			相子元		四 2-4 公館 體育館二3樓會議室	運動科技前瞻議題						16		選				50		2	
	AM32						10	0.20		競技系（碩）		FPM0054			0		1.0				114	半			Exercise & Sport Science Seminar (I)			0058			9	N					◎課程開放上修			0			鄭景峰		四 5 公館 研001	運動科學專題報告（一）						9		必				50		2	
	AM32						10	0.20		競技系（碩）		FPM0062			0		3.0				114	半			Applications of Dynamical System Theory in Motor Behavior			0059			7	N					◎課程開放上修			0			劉有德		三 2-4 公館 研001	動力系統理論在運動行為的應用						7		選				50		2	
	AM32						10	0.20		競技系（碩）		FPM0068			0		3.0				114	半			Physiology of Resistance Exercise Training			0060			6	N					◎課程開放上修			0			何仁育		四 2-4 公館 研003	阻力運動訓練生理學						6		選				50		2	
	AM32						10	0.20		競技系（碩）		FPM0074			0		3.0				114	半			Studies in Coaching Philosophy			0061			12	N					◎課程開放上修			0			石明宗		二 2-4 公館 研003	教練哲學研究						12		選				50		2	
	AM32						10	0.20		競技系（碩）		FPM0076			0		3.0				114	半			Statistics and Experimental Design			0062			10	N					◎課程開放上修			0			劉錦璋		一 5-7 公館 研003	統計與實驗設計						10		選				50		2	
	AOD						15	0.25		國防教育		ADU0001			2		0.0				114	半			All-Out Defense Education Military Training-International Situations	A		0063			61	N								8			李正文		五 6-7 和平 誠108	全民國防教育軍事訓練－國際情勢						69		選				60		2	
	AOD						15	0.25		國防教育		ADU0001			2		0.0				114	半			All-Out Defense Education Military Training-International Situations	B		0064			61	N								5			李正文		五 8-9 和平 誠108	全民國防教育軍事訓練－國際情勢						66		選				60		2	
	AOD						10	0.17		國防教育		ADU0002			2		0.0				114	半			All-Out Defense Education Military Training-National Defense Policies	A		0065			61	N								1			侯昭原		四 1-2 公館 Ｅ101	全民國防教育軍事訓練－國防政策						62		選				60		2	
	AOD						10	0.17		國防教育		ADU0002			2		0.0				114	半			All-Out Defense Education Military Training-National Defense Policies	B		0066			59	N								0			侯昭原		四 3-4 公館 Ｅ101	全民國防教育軍事訓練－國防政策						59		選				60		2	
	AOD						10	0.17		國防教育		ADU0003			2		0.0				114	半			All-Out Defense Education Military Training-Civil Defense	A		0067			62	N								2			謝衍傑		五 3-4 公館 Ｅ101	全民國防教育軍事訓練－全民國防						64		選				60		2	
	AOD						10	0.17		國防教育		ADU0003			2		0.0				114	半			All-Out Defense Education Military Training-Civil Defense	B		0068			57	N								3			謝衍傑		五 6-7 公館 Ｅ101	全民國防教育軍事訓練－全民國防						60		選				60		2	
	AOD						10	0.17		國防教育		ADU0004			2		0.0				114	半			All-Out Defense Education Military Training-Defense Mobilization	A		0069			61	N								6			劉麗君		三 6-7 和平 誠302	全民國防教育軍事訓練－防衛動員						67		選				60		2	
	AOD						10	0.17		國防教育		ADU0004			2		0.0				114	半			All-Out Defense Education Military Training-Defense Mobilization	B		0070			62	N								1			劉麗君		三 8-9 和平 誠302	全民國防教育軍事訓練－防衛動員						63		選				60		2	
	AOD						0	0.00		國防教育		ADU0005			2		0.0				114	半			All-Out Defense Education Military Training-Defense Technology	A		0071			61	N								0			周建志		四 1-2 和平 誠203	全民國防教育軍事訓練－國防科技						61		選				60		2	
	AOD						0	0.00		國防教育		ADU0005			2		0.0				114	半			All-Out Defense Education Military Training-Defense Technology	B		0072			61	N								0			周建志		四 3-4 和平 誠202	全民國防教育軍事訓練－國防科技						61		選				60		2	
	AU30						10	0.20		體育系（學）		PEC9001			0		3.0				114	半			Program Design as Related to Strength and Conditioning </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training ]			0073			14	N		是	9		◎初選 運動傷害防護學程 研究生得下修◎必須先修過【PEU0193  人體解剖生理學】、【PEU0015  運動生理學】			9			李恆儒	大碩	四 2-4 公館 Ｓ402	肌力與體能運動處方設計 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 ]						23		選				50		2	
	AU30						10	0.20		體育系（學）		PEC9002			0		3.0				114	半			Internship in Sport and Leisure Industry </br>[ Program: The Program of Sports Industry Management ]			0074			5	N			9					0			王傑賢	大碩	六 1-6 和平 教室自排	運動與休閒產業實習 </br>[ 學分學程：運動管理學程 ]						5		選				50		2	
	AU30						10	0.20		體育系（學）		PEC9005			0		2.0				114	半			Athletic Training Practicum (II)			0075			5	N			9		◎必須先修過【PEC9004  運動防護實習（一）】			0			黃昱倫	大碩	三 A-B 和平 體002	運動防護實習（二）						5		選				50		2	
	AU30						10	0.14		體育系（學）		PEU0018			0		2.0				114	半			History of Physical Education			0076			70	N								5			林玫君		四 6-7 和平 金牌講堂	體育史	一			1		75		必				70		2	
	AU30						10	0.20		體育系（學）		PEU0148			0		2.0				114	半			Physical Fitness </br>[ Program: The Program of Strength and Conditioning ]			0077			63	N								12			劉宏文		三 8-9 和平 重量訓練室一	體適能 </br>[ 學分學程：肌力與體能學程 ]	一			1		75		必				50		2	
	AU30						10	0.20		體育系（學）		PEU0243			0		2.0				114	半			Track and Field (II)	F		0078			13	N	F				◎限女生修◎必須先修過【PEU0277  田徑（一）】			0			林淑惠		一 6-7 和平 操場一	田徑（二）	一			1		13		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0243			0		2.0				114	半			Track and Field (II)	M		0079			32	N	M				◎限男生修◎必須先修過【PEU0277  田徑（一）】			1			詹俊成		五 6-7 和平 操場一	田徑（二）	一			1		33		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0252			0		2.0				114	半			Soccer (II)	F		0080			22	N	F				◎限女生修◎必須先修過【PEU0251  足球（一）】			0			程瑞福		四 1-2 公館 體育館二3樓	足球（二）	一			1		22		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0252			0		2.0				114	半			Soccer (II)	M		0081			31	N	M				◎限男生修◎必須先修過【PEU0251  足球（一）】			0			程瑞福		四 3-4 公館 體育館二3樓	足球（二）	一			1		31		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0255			0		2.0				114	半			Baseball (Softball) (II)	F		0082			23	N	F				◎限女生修◎必須先修過【PEU0254  棒（壘）球（一）】			2			潘慈惠		一 3-4 和平 操場一	棒（壘）球（二）	一			1		25		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0255			0		2.0				114	半			Baseball (Softball) (II)	M		0083			39	N	M				◎限男生修◎必須先修過【PEU0254  棒（壘）球（一）】			0			黃輝榮		二 3-4 和平 操場一	棒（壘）球（二）	一			1		39		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0264			0		2.0				114	半			Swimming (II)	F		0084			25	N	F				◎限女生修◎必須先修過【PEU0263  游泳（一）】			0			陳履賢		三 6-7 和平 游泳館1F大泳池	游泳（二）	一			1		25		必				50		2	
	AU30						10	0.20		體育系（學）		PEU0264			0		2.0				114	半			Swimming (II)	M		0085			43	N	M				◎限男生修◎必須先修過【PEU0263  游泳（一）】			0			陳履賢		二 6-7 和平 游泳館1F大泳池	游泳（二）	一			1		43		必				50		2	
	AU30						10	0.20		體育系（學）		PEU0270			0		2.0				114	半			Table Tennis (II)	F		0086			22	N	F				◎限女生修◎必須先修過【PEU0269  桌球（一）】			0			施亦婕		二 6-7 和平 桌球室	桌球（二）	一			1		22		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0270			0		2.0				114	半			Table Tennis (II)	M		0087			37	N	M				◎限男生修◎必須先修過【PEU0269  桌球（一）】			1			王傑賢		一 6-7 和平 桌球室	桌球（二）	一			1		38		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0275			0		2.0				114	半			Gymnastics (II)	F		0088			26	N	F				◎限女生修◎必須先修過【PEU0274  體操（一）】			1			張琪		二 3-4 和平 體操房	體操（二）	一			1		27		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0275			0		2.0				114	半			Gymnastics (II)	M		0089			36	N	M				◎限男生修◎必須先修過【PEU0274  體操（一）】			0			張琪		一 3-4 和平 體操房	體操（二）	一			1		36		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0291			0		2.0				114	半			Introduction of Athletic Training </br>[ Program: The Program of Injury Prevention and Athletic Training The Program of Sports Sciences ]			0090			31	N					◎初選 運動傷害防護學程 研究生得下修			0			黃昱倫		一 8-9 和平 金牌講堂	運動防護導論 </br>[ 學分學程：運動傷害防護學程 運動科學學程 ]	一			1		31		選				50		2	
	AU30						20	0.40		體育系（學）		PEU2001			0		2.0				114	半			Anatomy for Sport </br>[ Program: The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training The Program of Sports Sciences ]			0091			49	N					◎初選 運動傷害防護學程 研究生得下修			9			王宏豪		三 3-4 和平 金牌講堂	運動解剖學 </br>[ 學分學程：肌力與體能學程 運動傷害防護學程 運動科學學程 ]	一			1		58		選				50		2	
	AU30						10	0.13		體育系（學）		PEU0007			0		2.0				114	半			Sport Psychology </br>[ Program: The Program of Injury Prevention and Athletic Training The Program of Sports Sciences ]			0092			80	N					◎初選 運動傷害防護學程 研究生得下修			1			洪聰敏		四 3-4 和平 誠301	運動心理學 </br>[ 學分學程：運動傷害防護學程 運動科學學程 ]	二			2		81		必				80		2	
	AU30						10	0.20		體育系（學）		PEU0023			0		2.0				114	半			Weight Training			0093			40	N								0			詹俊成		一 8-9 和平 重量訓練室一	重量訓練	二			2		40		選				50		2	
	AU30						10	0.13		體育系（學）		PEU0030			0		2.0				114	半			Biomechanics of Sport </br>[ Program: The Program of Sports Technology The Program of Strength and Conditioning The Program of Injury Prevention and Athletic Training The Program of Sports Sciences ]			0094			76	N					◎初選 運動科技學程 運動傷害防護學程 研究生得下修			1			張家豪		一 3-4 和平 誠201	運動生物力學 </br>[ 學分學程：運動科技學程 肌力與體能學程 運動傷害防護學程 運動科學學程 ]	二			2		77		必				80		2	
	AU30						10	0.20		體育系（學）		PEU0040			0		2.0				114	半			Management of Sport Facility </br>[ Program: The Program of Sports Industry Management ]			0095			21	N								0			王傑賢		四 8-9 和平 正201	運動場館規劃經營管理 </br>[ 學分學程：運動管理學程 ]	二			2		21		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0082			3		2.0				114	半			Handball (II)			0096			3	N					◎必須先修過【PEU0081  手球（一）】			0			黃欽永		二 8-9 和平 體育館一4F	手球（二）	二			2		3		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0213			2		2.0				114	半			Introduction to Adapted Physical Education			0097			9	N								0			潘正宸		四 1-2 和平 正104	適應體育概論	二			2		9		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0240			0		2.0				114	半			Water Safety and Life Saving (II)			0098			11	N					◎必須先修過【PEU0239  水上安全與救生（一）】			0			簡浚哲		三 6-7 和平 游泳館1F大泳池	水上安全與救生（二）	二			2		11		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0246			0		2.0				114	半			Basketball (II)	F		0099			16	N	F	是			◎限女生修◎必須先修過【PEU0245  籃球（一）】			0			掌慶維		五 3-4 和平 體育館一4F	籃球（二）	二			2		16		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0246			0		2.0				114	半			Basketball (II)	M		0100			25	N	M	是			◎限男生修◎必須先修過【PEU0245  籃球（一）】			2			掌慶維		四 6-7 和平 體育館一4F	籃球（二）	二			2		27		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0249			0		2.0				114	半			Volleyball (II)	F		0101			15	N	F				◎限女生修◎必須先修過【PEU0248  排球（一）】			2			良財		二 3-4 和平 體育館一4F	排球（二）	二			2		17		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0249			0		2.0				114	半			Volleyball (II)	M		0102			31	N	M				◎限男生修◎必須先修過【PEU0248  排球（一）】			0			良財		二 1-2 和平 體育館一4F	排球（二）	二			2		31		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0258			0		2.0				114	半			Tennis (II)	F		0103			18	N	F				◎限女生修◎必須先修過【PEU0257  網球（一）】			1			李家豪		四 6-7 和平 網球場一	網球（二）	二			2		19		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0258			0		2.0				114	半			Tennis (II)	M		0104			27	N	M				◎限男生修◎必須先修過【PEU0257  網球（一）】			3			李家豪		五 3-4 公館 網球場二	網球（二）	二			2		30		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0261			0		2.0				114	半			Wu-Shu (II)	F		0105			9	N	F	是			◎限女生修◎必須先修過【PEU0260  武術（一）】			0			張育愷		二 1-2 和平 武術房一	武術（二）	二			2		9		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0261			3		2.0				114	半			Wu-Shu (II)	M		0106			11	N	M	是			◎限男生修◎必須先修過【PEU0260  武術（一）】			0			Philip X. Fuchs		二 3-4 和平 武術房一	武術（二）	二			2		11		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0267			0		2.0				114	半			Badminton (II)	F		0107			21	N	F				◎限女生修◎必須先修過【PEU0266  羽球（一）】			0			潘光敏		五 6-7 和平 體育館一4F	羽球（二）	二			2		21		選				50		2	
	AU30						10	0.20		體育系（學）		PEU0267			0		2.0				114	半			Badminton (II)	M		0108			34	N	M				◎限男生修◎必須先修過【PEU0266  羽球（一）】			1			徐孟達		四 1-2 和平 體育館一4F	羽球（二）	二			2		35		選				50		2	
