cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	CU						0	0.00		共同科		00UB9A1			0		2.0	Y			112	半			English (III): Literature and Culture	A		0001			35	N		是			◎必須先修過【英文（一）】◎必須先修過【英文（二）】			0			李金安		◎密集課程	英文（三）：文學與文化						35		必				35	◎第1期  ◎第一類課程   【第一期】6/24~7/21每周二6-9、四6-9(誠208、7/11在綜十樓教室)。	3	
	EU						0	0.00		師培學院		00UE004			0		2.0	Y			112	半			Sociology of Education </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]			0002			48	N								0			蘇苑瑜		◎密集課程	教育社會學（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						48		選				50	◎第2期  ◎第二類課程   【第二期】7/22~8/18每周二6-9、四6-9(誠207)。	3	
	EU						0	0.00		師培學院		00UE006			0		2.0	Y			112	半			Classroom Management </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0003			49	N								0			楊傳蓮		◎密集課程	班級經營（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]						49		選				50	◎第1期  ◎第二類課程   【第一期】6/24~7/21每周一6-9、五6-9 (S601)。	3	
	EU						0	0.00		師培學院		00UE008			0		2.0	Y			112	半			Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]	A		0004			47	N								0			陳淑琦		◎密集課程	輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]						47		選				50	◎第2期  ◎第二類課程   【第二期】7/22~8/18每周一1-4、四1-4(誠208) 。	3	
	EU						0	0.00		師培學院		00UE008			0		2.0	Y			112	半			Principle and Practice of Guidance </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]	B		0005			39	N								0			陳淑琦		◎密集課程	輔導原理與實務（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]						39		選				50	◎第2期  ◎第二類課程   【第二期】7/22~8/18每周一6-9、四6-9(誠208) 。	3	
	EU						0	0.00		師培學院		00UE080			0		2.0	Y			112	半			Teacher Professional Development </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of PASSION Quality Education in Rural Schools The Program of International Baccalaureate Educator Certificate-International Education ]			0006			12	N								0			桑慧芬		◎密集課程	教師專業發展（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 PASSION偏鄉教育學程 國際教師學程-國際 ]						12		選				50	◎第1期  ◎第二類課程   【第一期】6/24~7/21每周一1-4、三1-4(誠208)。	3	
	EU						0	0.00		師培學院		00UE097			0		2.0	Y			112	半			Parent Education : Families and Schools Working Together </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]			0007			50	N								0			張民杰		◎密集課程	親職教育與親師合作（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						50		選				50	◎第1期  ◎第二類課程   【第一期】6/24~7/21每周一2-5、三2-5(S201)。	3	
	EU						0	0.00		師培學院		00UE099			0		2.0	Y			112	半			Education Policy and Law </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]			0008			31	N								0			桑慧芬		◎密集課程	教育政策與法令（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						31		選				50	◎第1期  ◎第二類課程   【第一期】6/24~7/21每周一6-9、三6-9(誠208)。	3	
	EU						4	0.08		師培學院		00UE102			0		1.0	Y			112	半			Vocational Education Training and Career Planning </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]	A		0009			50	N								0			徐秀婕		◎密集課程	職業教育與訓練暨生涯規劃（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						50		必				50	◎第1期  ◎第二類課程   【第一期密集】6/24、6/26、6/28 (誠104)。	3	
	EU						4	0.08		師培學院		00UE102			0		1.0	Y			112	半			Vocational Education Training and Career Planning </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]	B		0010			50	N								0			徐秀婕		◎密集課程	職業教育與訓練暨生涯規劃（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]						50		必				50	◎第1期  ◎第二類課程 【第一期密集】6/25、6/27、7/1 (誠104)。	3	
