cancel	dept_code	dept_group	week_section1	week_section2	week_section3	week_section4	authorize_p	authorize_r	brief_eng	dept_chiabbr	not_choose	course_code	percentage	full_flag	limit	selfTeach	credit	intensive	fillcounter	for_query	acadm_year	course_kind	selfTeachName	send_time	eng_name	course_group	exp_hours	serial_no	status	emi	counter_exceptAuth	rt	gender_restrict	eng_teach	classes	dept_engfull	restrict	school_avg	umd	authorize_using	dept_group_name	course_avg	teacher	class_name	time_inf	chn_name	form_s_name	moocs_teach	hours	form_s	tname	counter	deleteQ	option_code	tcode	scoreEnt	iCounter	limit_count_h	comment	acadm_term	generalCore
	9UAA						0	0		校際臺大（學）		AAC7852					3.0				112	半			Core Curriculum on Creativity and Entrepreneurship (I)	A		4569			0				7		◎加退選全授權碼選課 ◎初選不開放			4			簡睿哲	大碩博	二 7-9 請洽系所辦	創意創業核心課程(一)						4		選				1	學分學程 ; 創意創業學程 ; 初選不開放．限審核通過的創創學程學生修習。第一次上課發放授權碼，請務必準時出席。上課教室詳見學程社團公告。 ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7853					2.0				112	半			Seminar and Action on Creativity and Entrepreneurship(I)	A		4570			0				7		◎加退選全授權碼選課 ◎初選不開放			4			簡睿哲	大碩博	二 A-B 普203	創意創業專題討論與實踐一						4		選				1	學分學程 ; 創意創業學程 ; 初選不開放．限審核通過的創創學程學生修習。第一次上課發放授權碼，請務必準時出席。上課教室詳見學程社團公告。 ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7445					3.0				112	半			Innovative community design	A		4571			0				7		◎加退選全授權碼選課			0			張聖琳	大碩博	五 6-8 公館104	創新社區設計						0		選				5	工學院 ; 建築與城鄉研究所 ; 25人(含開放臺大系統人數:5)。 ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7J31					3.0				112	半			Innovative and Strategic Thinking Practices	A		4572			0				7		◎加退選全授權碼選課 ◎初選不開放			1			陶韻智	大碩博	三 7-9 綜302	創新思考與策略實務：全球頂尖企業的創新思維與作法						1		選				1	學分學程 ; 創意創業學程 ; 初選不開放．第一次上課發放授權碼，請務必準時出席。 ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7758					3.0				112	半			Prototyping Practice	A		4573			0				7		◎加退選全授權碼選課			1			蔡文傑	大碩博	一 6-8 卓R505	創新原型實作						1		選				1	創新設計學院 ; 創新領域學士學位學程 ; 領導學程認列為選修課程。 ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7J32					3.0				112	半			Innovation and Entrepreneurship in Action	A		4574			0				7		◎加退選全授權碼選課 ◎初選不開放			3			曾正忠	大碩博	五 7-9 共103	創新創業實踐						3		選				3	學分學程 ; 創意創業學程 ; 初選不開放．限審核通過的學生修習。第一次上課發放授權碼，請務必準時出席。 ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7J33					3.0				112	半			Innovation and RandD Management	A		4575			0				7		◎加退選全授權碼選課			2			王帛霞	大碩博	五 2-4 電二225	創新與研發管理						2		選				3	電機資訊學院 ; 電機工程學研究所 ;   限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7G88					2.0				112	半			Transdisciplinary Fundamentals	A		4576			0				7		◎加退選全授權碼選課 ◎初選不開放			0			陳懷萱	大碩博	四 3-4 請洽系所辦	創新領域基礎						0		選				1	創新設計學院 ; 創新領域學士學位學程 ; 初選不開放． ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7G88					2.0				112	半			Transdisciplinary Fundamentals	B		4577			0				7		◎加退選全授權碼選課 ◎初選不開放			1			黃書緯	大碩博	四 3-4 卓R505	創新領域基礎						1		選				1	創新設計學院 ; 創新領域學士學位學程 ; 初選不開放． ; 限修學制：大、碩、博	1	
	9UAA						0	0		校際臺大（學）		AAC7G88					2.0				112	半			Transdisciplinary Fundamentals	C		4578			0				7		◎加退選全授權碼選課 ◎初選不開放			1			蔡文傑	大碩博	四 3-4 請洽系所辦	創新領域基礎						1		選				1	創新設計學院 ; 創新領域學士學位學程 ; 初選不開放． ; 限修學制：大、碩、博	1	
